GEOID,State,ED Cost,PO Cost,PMPM,EDs,HOs,POs,WhitePop,BlackPop,OtherPop,HealthyPop,ChronicPop,ComplexPop,Unemployment,Income,Poverty,Education,Urbanicity,TotalChild,TotalAdult,Accessibility,Availability,RankingsPCP,RankingsFood,RankingsHousing,RankingsExercise,RankingsSocial,ProvDensity
37129011902,NC,270806.6999,128585.9231,4423.929456,4795.842242,67.7784985,2400.212003,51.95530726,37.23299376,10.81169898,42.64705882,15.55727554,41.79566563,10.2,33298,9.6,29.6,Urban,840,4646,3.01022,0.15,86.98395098,7,20,79,10.6,1.3041
37129011903,NC,257001.9146,122026.0322,4198.400593,4551.355393,64.32172993,2277.823856,51.9523614,37.23704586,10.81059274,42.64748917,15.55676289,41.79574794,16.2,23588,15.8,39.9,Urban,522,6688,4.339701,0.15,86.98395098,7,20,79,10.6,1.3012
37129010502,NC,367016.8641,174268.9612,5995.629786,6499.672946,91.85833285,3252.941242,51.95530726,37.23299376,10.81169898,42.64705882,15.55727554,41.79566563,7.6,24917,37.5,36.6,Urban,1239,6202,2.954778,0.15,86.98395098,7,20,79,10.6,1.2937
37129011904,NC,114992.2287,54601.241,1878.5263,2036.451049,28.78067864,1019.198298,51.95530726,37.23299376,10.81169898,42.64705882,15.55727554,41.79566563,9.3,72763,0,70.2,Urban,224,1488,9.972185555,0.583965533,86.98395098,7,20,79,10.6,1.3012
37129011606,NC,167663.6403,70313.04052,2716.064022,2938.502815,38.99390928,1425.063218,45.92729393,46.0188661,8.053839971,43.85340855,14.33768216,41.80890929,8.8,51667,5.1,29.1,Urban,730,3317,11.44111173,0.38915592,86.98395098,7,20,79,10.6,1.2883
37129011603,NC,334286.0598,136621.3646,5130.139864,5796.068417,75.37793585,2760.279345,46.33743115,46.05602316,7.606545692,43.80455008,14.25804922,41.93740071,6.6,50337,4.2,19.5,Urban,1383,5444,14.45053706,0.413732785,86.98395098,7,20,79,10.6,1.2698
37129011705,NC,187698.1071,80097.32646,3040.057065,3056.274296,46.42937829,1637.138186,69.47418335,19.84314029,10.68267636,44.50915204,16.29076478,39.20008318,5.5,67469,4.4,53.6,Urban,1965,6188,0.912724011,0.821862543,86.98395098,7,20,79,10.6,1.2961
37129011605,NC,266812.1034,111804.282,4322.253276,4691.15448,61.87514883,2265.100385,44.05450041,48.10074319,7.8447564,43.80125422,14.18234443,42.01640135,9.7,27977,10.4,22.4,Urban,779,4137,10.95582033,0.371194159,86.98395098,7,20,79,10.6,1.2883
37129012101,NC,400764.7591,182180.3123,5589.582822,5863.689905,74.20858896,3217.773006,73.96037709,15.99064651,10.0489764,43.37851313,12.50574721,44.11573965,8.5,54368,6.3,23.6,Urban,1559,6424,3.523862919,0.15,86.98395098,7,20,79,10.6,1.3048
37129012104,NC,166196.6188,87687.93097,2219.394686,2642.297005,37.15110083,1441.787855,77.07632668,11.37921356,11.54445976,44.02367277,16.81065969,39.16566754,9.2,65892,4,33.2,Urban,970,4205,8.532516211,0.398401096,86.98395098,7,20,79,10.6,1.3253
37129012009,NC,175312.1137,94527.97935,2350.764708,2813.098466,39.61545258,1536.528363,77.51664238,10.93125482,11.5521028,44.00360064,16.99091984,39.00547952,6.9,80802,8.3,53.1,Urban,1804,5216,2.954168691,0.15,86.98395098,7,20,79,10.6,1.3099
37129012010,NC,119920.3899,64881.9416,1609.065361,1927.0876,27.14498731,1052.751113,77.58413992,10.86258565,11.55327443,44.00052371,17.01855256,38.98092373,3.6,70985,1.6,42.4,Urban,1181,3572,4.293685463,0.15,86.98395098,7,20,79,10.6,1.3099
37129012004,NC,103428.5662,55991.82388,1387.936723,1662.484608,23.41878513,908.2253317,77.59562842,10.85089774,11.55347385,44,17.02325581,38.97674419,7.2,92652,2.2,58.6,Urban,977,3039,3.230689553,0.15,86.98395098,7,20,79,10.6,1.3173
37129012103,NC,114205.0314,61825.74347,1532.549109,1835.702782,25.85884333,1002.855461,77.59562842,10.85089774,11.55347385,44,17.02325581,38.97674419,3.4,77074,3.8,48.7,Urban,802,3367,0.008807,0.252536549,86.98395098,7,20,79,10.6,1.3048
37141920202,NC,243346.4098,102550.1759,3383.621871,2832.917656,41.66698623,2010.574599,77.02187181,15.94075238,7.037375814,44.32895888,15.63337905,40.03766207,3.6,67538,0.8,37.7,Urban,1040,4974,11.17815477,0.583583281,31.3682074,7,16,48,11.1,1.2342
37141920203,NC,188982.0094,78954.97518,2612.29661,2328.817671,33.90885779,1504.750611,75.01028099,17.57719377,7.41252524,44.61365545,15.49626722,39.89007733,12.5,45888,11.3,19.9,Urban,974,2676,11.77281304,0.602484279,31.3682074,7,16,48,11.1,1.2342
37129011608,NC,145744.0532,59696.07374,2179.497876,2372.330152,34.08313033,1212.760565,69.9332882,19.78968733,10.27702447,44.46607975,16.22353158,39.31038867,8.7,66794,4.5,25.8,Urban,936,4336,11.81137107,0.609433489,86.98395098,7,20,79,10.6,1.28
37129012300,NC,178750.2883,76535.19655,2895.030646,2867.32822,44.73052355,1566.839078,71.95767196,17.08238851,10.95993953,44.57831325,16.49675626,38.92493049,6.6,89426,4.5,55,Urban,1395,5422,0.921419,0.443321437,86.98395098,7,20,79,10.6,1.2961
37129011607,NC,235859.6113,100987.5949,3819.970358,3783.417222,59.02157694,2067.431942,71.95767196,17.08238851,10.95993953,44.57831325,16.49675626,38.92493049,6,54846,4.5,27,Urban,2247,8204,9.034748812,0.877140445,86.98395098,7,20,79,10.6,1.28
37129012007,NC,377713.7839,156050.5542,4838.705521,5454.11266,75.34723926,2943.251534,70.4,18.17142857,11.42857143,44.32801822,14.07744875,41.59453303,13.7,43674,15.6,44.7,Urban,479,3109,2.57272566,0.15,86.98395098,7,20,79,10.6,1.3024
37129012105,NC,494137.8077,204150.5553,6330.156431,7135.252637,98.57177898,3850.460116,70.4,18.17142857,11.42857143,44.32801822,14.07744875,41.59453303,6.7,60434,6.3,34.8,Urban,2729,8532,11.66073984,0.392518756,86.98395098,7,20,79,10.6,1.3253
37129012006,NC,176948.7707,73105.49653,2266.803676,2555.105404,35.29815942,1378.834353,70.4,18.17142857,11.42857143,44.32801822,14.07744875,41.59453303,8.3,53405,11.3,45.7,Urban,678,2923,2.574676812,0.15,86.98395098,7,20,79,10.6,1.3024
37129012008,NC,197517.3436,81603.29919,2530.297547,2852.111546,39.40122701,1539.11043,70.4,18.17142857,11.42857143,44.32801822,14.07744875,41.59453303,16.9,37800,7.9,42.9,Urban,1250,4328,4.309256943,0.15,86.98395098,7,20,79,10.6,1.3024
37019020504,NC,89985.71075,43060.05726,1147.972874,1126.890289,13.44254642,715.5907445,73.158217,19.75130223,7.090480774,46.68980094,14.2913418,39.01885727,7.2,57292,3,35.9,Urban,82,1152,12.91314297,0.528882391,41.86821312,7,17,44,9.9,0.5902
37019020505,NC,325025.2852,131708.4498,4602.248776,4461.466733,54.11583099,2941.428984,73.40996242,16.32020518,10.2698324,43.56979316,14.94053346,41.48967339,23.9,32321,17.9,15.3,Urban,455,2833,17.89577507,0.694449178,41.86821312,7,17,44,9.9,0.6603
37141920501,NC,435607.2047,154617.5869,6840.996162,5379.646718,84.29132471,3028.081866,44.38722977,45.73407087,9.878699367,41.9196369,13.05819395,45.02216916,6.8,43418,12.8,8.8,Urban,1640,3326,25,1,31.3682074,7,16,48,11.1,1.1228
37019020204,NC,238990.7025,74074.38121,2826.169147,2973.641968,42.00327345,1444.663524,79.44590842,14.89926672,5.654824856,43.61419612,15.73573261,40.65007127,11.5,44808,18,18.9,Suburban,1033,4341,9.370456776,0.538149964,41.86821312,7,17,44,9.9,1.3058
37019020304,NC,292543.451,85998.66718,3401.261983,3703.900874,56.06717971,1646.797184,82.8195087,11.28234798,5.898143315,44.14345253,16.59151088,39.26503659,12.1,64120,1.1,44.7,Suburban,319,3972,6.43436965,0.461653853,41.86821312,7,17,44,9.9,1.4954
37019020303,NC,249924.0509,82975.01635,3003.48644,2920.159135,31.94213384,1671.175408,65.89928058,29.49640288,4.604316547,43.17406143,12.11604096,44.70989761,21.6,46090,15.1,35.1,Suburban,252,1837,9.021827883,0.310972475,41.86821312,7,17,44,9.9,0.943
37019020203,NC,250959.4831,105922.196,3407.921235,3396.344695,55.62369857,2094.375911,69.85303022,23.2829734,6.863996383,34.54014379,15.41489995,50.04495626,17,62329,8.6,12.9,Urban,493,1704,13.98188992,0.879064746,41.86821312,7,17,44,9.9,1.3058
37047930300,NC,238140.6552,93258.04499,4516.438368,4923.700069,69.19588031,2445.486955,44.33828372,32.86251335,22.79920293,23.69524165,15.7698609,60.53489745,3.4,56708,8.6,23,Urban,477,1749,17.3766596,0.595018666,39.90422985,7,17,30,9.9,0.7587
37141920601,NC,280511.3928,112435.1792,4087.298416,3942.07773,57.42237725,2079.282266,61.6169577,27.15460883,11.22843347,44.68303202,15.30468029,40.01228769,2.7,37428,3.3,11.6,Urban,610,2113,16.3099731,0.781371509,31.3682074,7,16,48,11.1,1.2429
37141920401,NC,188662.5831,69296.90328,2918.607542,2408.218677,34.7710445,1315.005602,50.83371886,40.00680291,9.159478231,40.88374513,13.60070677,45.5155481,17.3,52759,14,11.3,Urban,658,1534,19.67501739,0.806895756,31.3682074,7,16,48,11.1,1.0483
